Governor / Lt. Governor                                             |-  |Allegany County                                   |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           7831|\N
Representative in Congress                                          |01 |Caroline County                                   |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           1556|\N
Representative in Congress                                          |01 |Caroline County                                   |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                           6639|\N
Representative in Congress                                          |01 |Caroline County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             11|\N
Representative in Congress                                          |01 |Cecil County                                      |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           6670|\N
Representative in Congress                                          |01 |Cecil County                                      |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                          17425|\N
Representative in Congress                                          |01 |Cecil County                                      |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             73|\N
Representative in Congress                                          |01 |Dorchester County                                 |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           2219|\N
Representative in Congress                                          |01 |Dorchester County                                 |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                           7575|\N
Representative in Congress                                          |01 |Dorchester County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              7|\N
Representative in Congress                                          |01 |Harford County                                    |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                          11259|\N
Representative in Congress                                          |01 |Harford County                                    |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                          35545|\N
Representative in Congress                                          |01 |Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             73|\N
Representative in Congress                                          |01 |Kent County                                       |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           1455|\N
Representative in Congress                                          |01 |Kent County                                       |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                           6148|\N
Representative in Congress                                          |01 |Kent County                                       |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              8|\N
Representative in Congress                                          |01 |Queen Anne's County                               |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           3128|\N
Representative in Congress                                          |01 |Queen Anne's County                               |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                          13075|\N
Representative in Congress                                          |01 |Queen Anne's County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             19|\N
Representative in Congress                                          |01 |Somerset County                                   |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           1692|\N
Representative in Congress                                          |01 |Somerset County                                   |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                           4789|\N
Representative in Congress                                          |01 |Somerset County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             11|\N
Representative in Congress                                          |01 |Talbot County                                     |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           2475|\N
Representative in Congress                                          |01 |Talbot County                                     |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                          11616|\N
Representative in Congress                                          |01 |Talbot County                                     |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             14|\N
Representative in Congress                                          |01 |Wicomico County                                   |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           6165|\N
Representative in Congress                                          |01 |Wicomico County                                   |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                          18542|\N
Representative in Congress                                          |01 |Wicomico County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             42|\N
Representative in Congress                                          |01 |Worcester County                                  |Tamlyn                                                      |D.              |Ann                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           4324|\N
Representative in Congress                                          |01 |Worcester County                                  |Gilchrest                                                   |T.              |Wayne                                                       |Republican                                        |              1|(Vote for One)                                    |                                          13764|\N
Representative in Congress                                          |01 |Worcester County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             16|\N
Representative in Congress                                          |02 |Anne Arundel County                               |Ruppersberger                                               |Dutch           |C. A.                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          14504|\N
Representative in Congress                                          |02 |Anne Arundel County                               |Bentley                                                     |Delich          |Helen                                                       |Republican                                        |              0|(Vote for One)                                    |                                          13811|\N
Representative in Congress                                          |02 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             80|\N
Representative in Congress                                          |02 |Baltimore City                                    |Ruppersberger                                               |Dutch           |C. A.                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          18817|\N
Representative in Congress                                          |02 |Baltimore City                                    |Bentley                                                     |Delich          |Helen                                                       |Republican                                        |              0|(Vote for One)                                    |                                           5102|\N
Representative in Congress                                          |02 |Baltimore City                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             42|\N
Representative in Congress                                          |02 |Baltimore County                                  |Ruppersberger                                               |Dutch           |C. A.                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          61069|\N
Representative in Congress                                          |02 |Baltimore County                                  |Bentley                                                     |Delich          |Helen                                                       |Republican                                        |              0|(Vote for One)                                    |                                          57640|\N
Representative in Congress                                          |02 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            359|\N
Representative in Congress                                          |02 |Harford County                                    |Ruppersberger                                               |Dutch           |C. A.                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          11328|\N
Representative in Congress                                          |02 |Harford County                                    |Bentley                                                     |Delich          |Helen                                                       |Republican                                        |              0|(Vote for One)                                    |                                          12401|\N
Representative in Congress                                          |02 |Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             49|\N
Representative in Congress                                          |03 |Anne Arundel County                               |Cardin                                                      |L.              |Benjamin                                                    |Democratic                                        |              1|(Vote for One)                                    |                                          41692|\N
Representative in Congress                                          |03 |Anne Arundel County                               |Conwell                                                     |\N              |Scott                                                       |Republican                                        |              0|(Vote for One)                                    |                                          36184|\N
Representative in Congress                                          |03 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             99|\N
Representative in Congress                                          |03 |Baltimore City                                    |Cardin                                                      |L.              |Benjamin                                                    |Democratic                                        |              1|(Vote for One)                                    |                                          37617|\N
Representative in Congress                                          |03 |Baltimore City                                    |Conwell                                                     |\N              |Scott                                                       |Republican                                        |              0|(Vote for One)                                    |                                           9479|\N
Representative in Congress                                          |03 |Baltimore City                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             29|\N
Representative in Congress                                          |03 |Baltimore County                                  |Cardin                                                      |L.              |Benjamin                                                    |Democratic                                        |              1|(Vote for One)                                    |                                          48833|\N
Representative in Congress                                          |03 |Baltimore County                                  |Conwell                                                     |\N              |Scott                                                       |Republican                                        |              0|(Vote for One)                                    |                                          20751|\N
Representative in Congress                                          |03 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             79|\N
Representative in Congress                                          |03 |Howard County                                     |Cardin                                                      |L.              |Benjamin                                                    |Democratic                                        |              1|(Vote for One)                                    |                                          17447|\N
Representative in Congress                                          |03 |Howard County                                     |Conwell                                                     |\N              |Scott                                                       |Republican                                        |              0|(Vote for One)                                    |                                           9307|\N
Representative in Congress                                          |03 |Howard County                                     |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             26|\N
Representative in Congress                                          |04 |Montgomery County                                 |Wynn                                                        |R.              |Albert                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          48398|\N
Representative in Congress                                          |04 |Montgomery County                                 |Kimble                                                      |B.              |John                                                        |Republican                                        |              0|(Vote for One)                                    |                                          26141|\N
Representative in Congress                                          |04 |Montgomery County                                 |Davis                                                       |\N              |Mignon                                                      |Democratic                                        |              0|(Vote for One)                                    |                                            110|\N
Representative in Congress                                          |04 |Montgomery County                                 |Anderson                                                    |W.              |Floyd                                                       |Republican                                        |              0|(Vote for One)                                    |                                             27|\N
Representative in Congress                                          |04 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            630|\N
Representative in Congress                                          |04 |Prince George's County                            |Wynn                                                        |R.              |Albert                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          83246|\N
Representative in Congress                                          |04 |Prince George's County                            |Kimble                                                      |B.              |John                                                        |Republican                                        |              0|(Vote for One)                                    |                                           8749|\N
Representative in Congress                                          |04 |Prince George's County                            |Davis                                                       |\N              |Mignon                                                      |Democratic                                        |              0|(Vote for One)                                    |                                             52|\N
Representative in Congress                                          |04 |Prince George's County                            |Anderson                                                    |W.              |Floyd                                                       |Republican                                        |              0|(Vote for One)                                    |                                              6|\N
Representative in Congress                                          |04 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            196|\N
Representative in Congress                                          |05 |Anne Arundel County                               |Hoyer                                                       |H.              |Steny                                                       |Democratic                                        |              1|(Vote for One)                                    |                                           9936|\N
Representative in Congress                                          |05 |Anne Arundel County                               |Crawford                                                    |T.              |Joseph                                                      |Republican                                        |              0|(Vote for One)                                    |                                           9411|\N
Representative in Congress                                          |05 |Anne Arundel County                               |Auerbach                                                    |\N              |B.                                                          |Green                                             |              0|(Vote for One)                                    |                                             28|\N
Representative in Congress                                          |05 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             14|\N
Representative in Congress                                          |05 |Calvert County                                    |Hoyer                                                       |H.              |Steny                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          15710|\N
Representative in Congress                                          |05 |Calvert County                                    |Crawford                                                    |T.              |Joseph                                                      |Republican                                        |              0|(Vote for One)                                    |                                          10310|\N
Representative in Congress                                          |05 |Calvert County                                    |Auerbach                                                    |\N              |B.                                                          |Green                                             |              0|(Vote for One)                                    |                                             10|\N
Representative in Congress                                          |05 |Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             20|\N
Representative in Congress                                          |05 |Charles County                                    |Hoyer                                                       |H.              |Steny                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          22646|\N
Representative in Congress                                          |05 |Charles County                                    |Crawford                                                    |T.              |Joseph                                                      |Republican                                        |              0|(Vote for One)                                    |                                          12391|\N
Representative in Congress                                          |05 |Charles County                                    |Auerbach                                                    |\N              |B.                                                          |Green                                             |              0|(Vote for One)                                    |                                             14|\N
Representative in Congress                                          |05 |Charles County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             20|\N
Representative in Congress                                          |05 |Prince George's County                            |Hoyer                                                       |H.              |Steny                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          72825|\N
Representative in Congress                                          |05 |Prince George's County                            |Crawford                                                    |T.              |Joseph                                                      |Republican                                        |              0|(Vote for One)                                    |                                          19978|\N
Representative in Congress                                          |05 |Prince George's County                            |Auerbach                                                    |\N              |B.                                                          |Green                                             |              0|(Vote for One)                                    |                                            109|\N
Representative in Congress                                          |05 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            174|\N
Representative in Congress                                          |05 |St. Mary's County                                 |Hoyer                                                       |H.              |Steny                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          16786|\N
Representative in Congress                                          |05 |St. Mary's County                                 |Crawford                                                    |T.              |Joseph                                                      |Republican                                        |              0|(Vote for One)                                    |                                           8668|\N
Representative in Congress                                          |05 |St. Mary's County                                 |Auerbach                                                    |\N              |B.                                                          |Green                                             |              0|(Vote for One)                                    |                                             25|\N
Representative in Congress                                          |05 |St. Mary's County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             12|\N
Representative in Congress                                          |06 |Allegany County                                   |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           7773|\N
Representative in Congress                                          |06 |Allegany County                                   |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                          13550|\N
Representative in Congress                                          |06 |Allegany County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              6|\N
Representative in Congress                                          |06 |Baltimore County                                  |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           3776|\N
Representative in Congress                                          |06 |Baltimore County                                  |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                          10246|\N
Representative in Congress                                          |06 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             25|\N
Representative in Congress                                          |06 |Carroll County                                    |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                          15839|\N
Representative in Congress                                          |06 |Carroll County                                    |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                          42223|\N
Representative in Congress                                          |06 |Carroll County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             55|\N
Representative in Congress                                          |06 |Frederick County                                  |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                          25790|\N
Representative in Congress                                          |06 |Frederick County                                  |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                          39342|\N
Representative in Congress                                          |06 |Frederick County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             79|\N
Representative in Congress                                          |06 |Garrett County                                    |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           2366|\N
Representative in Congress                                          |06 |Garrett County                                    |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                           6574|\N
Representative in Congress                                          |06 |Garrett County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              4|\N
Representative in Congress                                          |06 |Harford County                                    |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           3418|\N
Representative in Congress                                          |06 |Harford County                                    |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                           8455|\N
Representative in Congress                                          |06 |Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             13|\N
Representative in Congress                                          |06 |Montgomery County                                 |DeArmon                                                     |M.              |Donald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           2479|\N
Representative in Congress                                          |06 |Montgomery County                                 |Bartlett                                                    |G.              |Roscoe                                                      |Republican                                        |              1|(Vote for One)                                    |                                           3690|\N
Representative in Congress                                          |06 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             14|\N
